identificador,grupo,exercicio,avaliacao_a,avaliacao_b,avaliacao,consenso,tem_erro,n_erros_temporais,duracao_erro_s
G2A-CTK-S3-Roscoff-091,G2A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,5.159999999999998
G2A-CTK-S4-Roscoff-001,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S4-Roscoff-015,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S4-Roscoff-026,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S4-Roscoff-046,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S4-Roscoff-068,G2A,CTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G2A-CTK-S4-Roscoff-074,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S4-Roscoff-088,G2A,CTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G2A-ELK-S1-Roscoff-005,G2A,ELK,Motionless,Motionless,Motionless,True,True,0,0.0
G2A-ELK-S1-Roscoff-060,G2A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,16.440000000000005
G2A-ELK-S1-Roscoff-071,G2A,ELK,Correct,Correct,Correct,True,False,0,0.0
G2A-ELK-S1-Roscoff-072,G2A,ELK,Correct,Correct,Correct,True,False,0,0.0
G2A-ELK-S1-Roscoff-077,G2A,ELK,Incorrect,Correct,Incorrect,False,True,2,7.880000000000001
G2A-ELK-S3-Roscoff-007,G2A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G2A-ELK-S3-Roscoff-021,G2A,ELK,Correct,Incorrect,Incorrect,False,True,1,5.0
G2A-ELK-S3-Roscoff-085,G2A,ELK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-005,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-010,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-025,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-049,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-050,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-052,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S1-Roscoff-072,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S2-Roscoff-021,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S2-Roscoff-063,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S3-Roscoff-030,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S3-Roscoff-084,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S3-Roscoff-095,G2A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,9.040000000000001
G2A-RTK-S5-Brest-026,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S5-Brest-043,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S5-Brest-074,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-RTK-S6-Roscoff-042,G2A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,26.520000000000003
G2A-RTK-S6-Roscoff-062,G2A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,29.04
G2A-RTK-S6-Roscoff-071,G2A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,15.0
G2A-RTK-S6-Roscoff-077,G2A,RTK,Correct,Correct,Correct,True,False,0,0.0
